trial-name,spk,train-infer,train-quality,n-samples,test-infer,test-quality,eer
trial_3bbqv17p,Serval,embd,ABCD,520,mask,ABC,48.48
trial_3bbqv17p,Serval,embd,ABCD,520,mask,D,44.44
trial_3bbqv17p,Serval,embd,ABCD,520,raw,ABC,48.48
trial_3bbqv17p,Serval,embd,ABCD,520,raw,D,48.15
trial_3eu16ykq,Kaban,mask,ABCD,520,embd,ABC,38.46
trial_3eu16ykq,Kaban,mask,ABCD,520,embd,D,35
trial_3eu16ykq,Kaban,mask,ABCD,520,mask,ABC,34.62
trial_3eu16ykq,Kaban,mask,ABCD,520,mask,D,35
trial_3eu16ykq,Kaban,mask,ABCD,520,raw,ABC,38.46
trial_3eu16ykq,Kaban,mask,ABCD,520,raw,D,50
trial_3fllf7zh,Kaban,raw,AB,520,embd,ABC,50
trial_3fllf7zh,Kaban,raw,AB,520,embd,D,45.45
trial_3fllf7zh,Kaban,raw,AB,520,mask,ABC,40.62
trial_3fllf7zh,Kaban,raw,AB,520,mask,D,45.45
trial_3fllf7zh,Kaban,raw,AB,520,raw,ABC,34.38
trial_3fllf7zh,Kaban,raw,AB,520,raw,D,54.55
trial_3g3c2fil,Kaban,raw,ABC,650,embd,ABC,32.14
trial_3g3c2fil,Kaban,raw,ABC,650,embd,D,36
trial_3g3c2fil,Kaban,raw,ABC,650,mask,ABC,21.43
trial_3g3c2fil,Kaban,raw,ABC,650,mask,D,32
trial_3g3c2fil,Kaban,raw,ABC,650,raw,ABC,21.43
trial_3g3c2fil,Kaban,raw,ABC,650,raw,D,32
trial_3gyuhia6,Kaban,mask,ABCD,880,embd,ABC,39.29
trial_3gyuhia6,Kaban,mask,ABCD,880,embd,D,28
trial_3gyuhia6,Kaban,mask,ABCD,880,mask,ABC,17.86
trial_3gyuhia6,Kaban,mask,ABCD,880,mask,D,24
trial_3gyuhia6,Kaban,mask,ABCD,880,raw,ABC,10.71
trial_3gyuhia6,Kaban,mask,ABCD,880,raw,D,28
trial_3k7y4k50,Kaban,raw,ABC,880,embd,ABC,23.81
trial_3k7y4k50,Kaban,raw,ABC,880,embd,D,32
trial_3k7y4k50,Kaban,raw,ABC,880,mask,ABC,19.05
trial_3k7y4k50,Kaban,raw,ABC,880,mask,D,20
trial_3k7y4k50,Kaban,raw,ABC,880,raw,ABC,14.29
trial_3k7y4k50,Kaban,raw,ABC,880,raw,D,20
trial_3nlqp7xm,Kaban,mask,ABCD,650,embd,ABC,45
trial_3nlqp7xm,Kaban,mask,ABCD,650,embd,D,50
trial_3nlqp7xm,Kaban,mask,ABCD,650,mask,ABC,25
trial_3nlqp7xm,Kaban,mask,ABCD,650,mask,D,44.44
trial_3nlqp7xm,Kaban,mask,ABCD,650,raw,ABC,25
trial_3nlqp7xm,Kaban,mask,ABCD,650,raw,D,44.44
trial_3ozymvvq,Serval,mask,ABCD,650,embd,ABC,44.83
trial_3ozymvvq,Serval,mask,ABCD,650,embd,D,37.5
trial_3ozymvvq,Serval,mask,ABCD,650,mask,ABC,31.03
trial_3ozymvvq,Serval,mask,ABCD,650,mask,D,25
trial_3ozymvvq,Serval,mask,ABCD,650,raw,ABC,24.14
trial_3ozymvvq,Serval,mask,ABCD,650,raw,D,20.83
trial_3tswm3i5,Kaban,mask,ABCD,520,embd,ABC,42.31
trial_3tswm3i5,Kaban,mask,ABCD,520,embd,D,53.57
trial_3tswm3i5,Kaban,mask,ABCD,520,mask,ABC,34.62
trial_3tswm3i5,Kaban,mask,ABCD,520,mask,D,35.71
trial_3tswm3i5,Kaban,mask,ABCD,520,raw,ABC,38.46
trial_3tswm3i5,Kaban,mask,ABCD,520,raw,D,50
trial_3v07nq90,Kaban,mask,ABCD,650,embd,ABC,33.33
trial_3v07nq90,Kaban,mask,ABCD,650,embd,D,45
trial_3v07nq90,Kaban,mask,ABCD,650,mask,ABC,33.33
trial_3v07nq90,Kaban,mask,ABCD,650,mask,D,45
trial_3v07nq90,Kaban,mask,ABCD,650,raw,ABC,25.93
trial_3v07nq90,Kaban,mask,ABCD,650,raw,D,30
trial_3v5akuti,Serval,embd,ABCD,1000,embd,ABC,13.33
trial_3v5akuti,Serval,embd,ABCD,1000,embd,D,25
trial_3v5akuti,Serval,embd,ABCD,1000,mask,ABC,10
trial_3v5akuti,Serval,embd,ABCD,1000,mask,D,21.43
trial_3v5akuti,Serval,embd,ABCD,1000,raw,ABC,13.33
trial_3v5akuti,Serval,embd,ABCD,1000,raw,D,14.29
trial_3ypnn2d8,Kaban,embd,ABCD,880,embd,ABC,23.53
trial_3ypnn2d8,Kaban,embd,ABCD,880,embd,D,33.33
trial_3ypnn2d8,Kaban,embd,ABCD,880,mask,ABC,35.29
trial_3ypnn2d8,Kaban,embd,ABCD,880,mask,D,25
trial_3ypnn2d8,Kaban,embd,ABCD,880,raw,ABC,23.53
trial_3ypnn2d8,Kaban,embd,ABCD,880,raw,D,29.17
trial_3z4yfr40,Kaban,embd,ABCD,520,embd,ABC,46.15
trial_3z4yfr40,Kaban,embd,ABCD,520,embd,D,48.15
trial_3z4yfr40,Kaban,embd,ABCD,520,mask,ABC,42.31
trial_3z4yfr40,Kaban,embd,ABCD,520,mask,D,40.74
trial_3z4yfr40,Kaban,embd,ABCD,520,raw,ABC,50
trial_3z4yfr40,Kaban,embd,ABCD,520,raw,D,44.44
trial_41rqvbyw,Kaban,raw,AB,650,embd,ABC,40.91
trial_41rqvbyw,Kaban,raw,AB,650,embd,D,45.83
trial_41rqvbyw,Kaban,raw,AB,650,mask,ABC,27.27
trial_41rqvbyw,Kaban,raw,AB,650,mask,D,33.33
trial_41rqvbyw,Kaban,raw,AB,650,raw,ABC,22.73
trial_41rqvbyw,Kaban,raw,AB,650,raw,D,37.5
trial_41ugqca5,Serval,raw,AB,650,embd,ABC,43.24
trial_41ugqca5,Serval,raw,AB,650,embd,D,39.39
trial_41ugqca5,Serval,raw,AB,650,mask,ABC,27.03
trial_41ugqca5,Serval,raw,AB,650,mask,D,24.24
trial_41ugqca5,Serval,raw,AB,650,raw,ABC,24.32
trial_41ugqca5,Serval,raw,AB,650,raw,D,30.3
trial_43a9yads,Kaban,embd,ABCD,650,embd,ABC,28.57
